콘텐츠,동영상 제목,동영상 게시 시간,길이,조회수,시청 시간(단위: 시간),구독자,예상 수익 (KRW),노출수,노출 클릭률 (%)
0JqH4gXXxBE,할맥 싹싹김치 했습니다,"Feb 4, 2025",1168,16107,2420.6157,8,44272.502,226977,4.24
D0HRNPHeMO8,소식,"Aug 15, 2023",49,15845,118.4062,11,2395.568,96416,8.38
Yo7UpHuuE-M,저는 기억이 잘 안 납니다 돼지불백 술먹방,"Sep 1, 2023",1293,15217,2692.0485,7,42401.631,140980,4.96
O5EQeWzMqbo,라면 풀코스 신라면 레드 먹방입니다!!,"Sep 5, 2023",941,14802,1672.8842,11,34313.939,160286,6.11
RLFJ0t3DH0k,[용사] 4500원?!?! 완전크닭 도시락 먹방입니다!!,"Apr 20, 2017",686,14391,402.8761,21,16866.13,110879,10.87
Gyn02ukUufw,치킨 박스 뒤집기,"Aug 29, 2023",14,14321,30.9447,0,1561.917,58416,2.96
ZHWdRO4fPwg,이게 잡채밥이다,"Sep 2, 2024",25,13850,49.113,3,1827.722,78885,5.72
PKtaKd2Lm5A,천국으로 가는 버튼 불닭볶음탕죽 먹방,"Jul 25, 2023",844,13660,1386.1079,3,29082.93,150654,6.69
c5JbW-b4NUw,인간 캣타워,"Feb 1, 2023",49,13599,76.9178,11,1749.304,35236,6.44
xxvVYbwUho0,짱구 퍼스널컬러,"Oct 2, 2024",23,13549,45.4611,1,1289.146,24910,2.63
zfR_pIK7TQ4,이거 다 먹으면 대식가 가능불가능 먹방입니다!!,"Dec 19, 2024",705,13545,1195.3894,13,28329.484,186636,6.34
eUKwFtCSm5U,바라세요 치맥먹방입니다!!,"Sep 11, 2023",892,13301,1612.9914,12,30412.334,122933,6.19
pEudGJrACyk,천칼로리 먹방,"Feb 24, 2023",39,12971,76.0656,2,1650.749,54133,7.75
zwyX_8IgLt0,서울에 안 파는 치킨,"Jun 13, 2024",1260,12692,1936.1163,5,34318.5,129711,5.8
SPrk4CV0t0w,소식좌가 되어버렸다 닭강정 밥 먹방입니다!!,"Oct 30, 2023",984,12625,1525.1887,5,28011.406,123286,6.96
24i2FYJwSbA,오랜만에 치킨 풀코스 먹방입니다!!,"Oct 3, 2024",884,12614,1119.4716,4,25223.722,164002,5.56
mOel0OOPScE,흐아아아아아아 송주불냉면 먹방,"May 31, 2022",924,12497,1083.1782,16,24666.211,183583,5.7
77PiFFJsxk8,미트파이피자 먹방입니다!!,"Mar 13, 2025",854,12400,1221.7932,14,28599.304,208860,3.73
Uops9lCvS08,건강 다이어트 애기 달달한 치킨,"Mar 25, 2025",873,12262,1044.128,4,27352.378,282618,3.29
MdBQMtPOVNg,이갈이치료,"Oct 6, 2024",28,12194,43.4706,2,1200.715,23371,1.93
4QVeHWVXBAU,신개념 먹방,"Mar 7, 2024",45,12128,73.9691,9,1664.518,49425,6.77
9JkVr3Dwq4Q,배달은 혜자,"Oct 8, 2024",31,11973,45.3375,3,1376.725,29252,2.68
PXoBK7fVK8o,바밤바 삼행시3,"Dec 6, 2021",29,11899,32.624,7,1082.965,36461,3.07
CTE_cvXQuLs,고양이쇼,"Mar 11, 2023",50,11654,84.0286,7,1611.646,59642,7.16
782-2l6Bjww,배 찢어진 사람의 깡돼후 먹방입니다!!,"Nov 6, 2023",1129,11411,1651.3554,6,30517.882,102763,6.47
rGZQK-Io5fM,조만간 뼈다귀로 뵙겠습니다 1인 떡볶이 먹방,"Jan 25, 2025",951,11335,1331.6486,3,28094.066,165570,4.57
vj0ISRVH4j8,나 정도면 나름... 양념돼지 먹방입니다!!,"Jul 3, 2023",979,11334,1454.8362,6,27750.524,106194,6.44
Ihpm3E30mBI,[용사] 찜질방 메뉴 먹방입니다!!,"Jul 30, 2017",603,11317,354.3471,14,15686.33,91300,10.08
NU66Gkgo0FQ,[용사] ASMR리츠 광고 따라잡기,"Jan 11, 2017",37,11263,78.5101,14,10333.072,84937,8.4
exIs2G8jVzA,제로비빔면? 먹방,"Mar 21, 2025",715,11206,911.9516,12,25016.886,230474,3.58
eEnmy8GKu1w,무탄수화물 다이어트라죽 먹방입니다!!,"Sep 22, 2023",1137,11134,1783.4835,7,32005.358,110089,4.91
TGf-VgycoYA,야외 먹방 일기 너머 떡볶이,"Mar 25, 2018",138,10998,218.851,17,10519.141,104643,8.46
3DOmF7GzAKg,나쁜 술 복분자맥주 먹방입니다!!,"Oct 23, 2023",1159,10933,1722.4764,6,29768.327,108928,4.94
WfIdSMszI58,야외먹방일기 캠핑,"May 27, 2022",59,10837,74.119,2,1318.442,20921,3.16
E32vAoBkKVU,그냥500만원vs재입대 5억,"Mar 20, 2023",36,10653,57.7124,2,1509.427,65030,4.89
HzFQ1jqlNsY,고양이 한입만,"Feb 4, 2023",58,10637,59.3984,0,1224.313,13731,5.5
lm4Hkshh8-s,함박스테이크먹방인데 라면을 곁들인,"Nov 16, 2024",911,10374,1208.3775,4,24505.233,130412,5.3
9eQ0jamvP-0,여자친구에게 사랑받는 방법,"Feb 1, 2023",27,10176,45.1273,2,1271.512,52372,4.03
4YKs4UarBfA,어른 장점,"Jul 26, 2024",30,9905,46.6397,1,1343.362,50330,8.02
