콘텐츠,동영상 제목,동영상 게시 시간,길이,조회수,시청 시간(단위: 시간),구독자,예상 수익 (KRW),노출수,노출 클릭률 (%)
3CQNEpneVFY,요즘 젊은 애들은 이렇게 먹는다던데 마라탕후루 먹방,"Dec 29, 2023",910,2236,260.0884,0,5282.099,25756,5.54
W23zNfalor4,BBQ 신메뉴 4종 먹방입니다!!,"May 2, 2020",489,2236,68.7114,3,2697.022,36957,4.65
OsRWfjiIgNs,햄버거 두 개 먹방입니다!!,"Oct 27, 2022",692,2233,157.6543,1,4345.826,28936,6.63
r3c_1stYQXw,곱창볶음밥,"May 26, 2023",55,2232,14.2717,1,294.709,6851,4.54
QRQCsfCoOtM,다이어트는 새해부터 짜파게티 먹방입니다!!,"Jan 5, 2023",805,2230,174.9158,2,4520.09,23193,7.92
LZOcVD22y_Y,방지턱데이 점보도시락 먹방입니다!!,"Jun 13, 2023",929,2220,239.3815,0,5246.261,39230,4.09
ihFeueuaCt4,물은 제로칼로리,"Aug 5, 2024",30,2206,6.9664,0,267.659,7333,0.78
QhmIi9rTa_Y,편의점 야식먹방입니다!!,"Aug 20, 2019",601,2200,109.4138,1,3015.737,25883,6.83
wEsmYLg7iK0,밥 두 공기만 먹어도 배부르게 생긴 사람의 부대찌개 먹방,"May 13, 2022",773,2194,168.8264,1,3971.032,24790,7.28
CAU8_GhaBPo,내가 햄버거 하나만 먹는 이유 뉴와퍼 먹방,"May 14, 2024",934,2190,275.9559,2,5773.496,34744,4.18
VEqPgdcZmgY,절반씩 먹으면 반쪽이 된다 버거 먹방,"Jan 31, 2025",759,2182,210.0418,2,5096.562,66241,2.12
IPDfCoZAjTg,사라진 나의 눈썹 한달성장기,"Apr 3, 2020",66,2177,20.6126,1,3405.995,7820,25.29
d0tqwmzgE7g,닭갈비볶음밥,"Oct 17, 2023",58,2170,14.7617,1,274.133,16232,4.52
Ti3yFJLu1rI,오랜만에 추억의 혜자도시락 먹방입니다!!,"Nov 19, 2023",597,2167,133.0485,1,3984.108,25385,6.62
9JgZu0keKCw,메뉴판에 있는 거만 먹겠습니다 원팬파스타 먹방입니다!!,"Aug 9, 2023",953,2143,278.9984,0,5240.574,22164,7.27
PXhXEAX-T6s,나락,"Apr 14, 2023",40,2138,12.5698,0,332.796,17315,5.77
2OamFm4HW6M,고양이는 못말려 삼겹살 먹방입니다!!,"Apr 7, 2023",812,2136,201.4328,1,4607.964,24019,6.52
Q_sXfPujr5E,야외 먹방 일기 텐동,"Sep 16, 2018",235,2136,71.4709,0,2138.535,33202,4.43
2eVRj3sKrq0,제육 저탄고지,"Aug 1, 2024",31,2133,6.7617,0,208.047,7345,1.25
mDfXRerpo5o,매워 죽어요. 송주불냉면 먹방입니다!!,"Jun 26, 2018",1025,2120,164.4957,0,6297.946,26536,6.15
uK99E1tYios,짜파게티 vs 불닭볶음면,"Jul 9, 2024",611,2111,151.9932,1,4171.324,28477,5.35
Q9zlRAOYAX8,빙수 먹방인데 카레 먹어서 죄송합니다,"Jan 22, 2024",752,2108,192.8434,-1,4777.952,24179,6.96
 -CwMYYpTFUo,합리적인 오코노미야끼 먹방입니다!!,"Oct 18, 2023",661,2107,180.4727,0,4307.569,20872,7.43
aNxm3JDynSI,라면 면만 먹으면 얼마나 먹을수 있을까?? 라면 먹방입니다!!,"Oct 10, 2019",609,2099,94.7766,0,3204.653,29135,6.11
qwkDl-bD1P4,입맛이 없네요 순살아구찜 먹방입니다!!,"Aug 31, 2023",628,2097,134.413,3,3737.807,25815,6.9
Ll1myYKggE4,조금 맵네요 뱀파이어 치킨 먹방입니다,"Oct 21, 2019",727,2094,138.4823,1,4890.674,25256,6.87
2zQy-o8CUaM,술도둑 미친꼬리족,"Oct 17, 2024",820,2093,193.2655,1,4181.181,29140,5.18
7yoVcxGTlRQ,한국식 샐러드 먹방,"Mar 5, 2024",51,2090,20.2403,1,273.675,11381,3.39
Qs5U37SeEcw,고장난 고양이,"Jun 24, 2024",11,2087,3.1702,0,163.582,5888,6.17
Hn1CGIA-Yb8,돈까스 도시락만 먹어요,"Sep 15, 2023",29,2078,9.2181,1,262.647,13704,2.09
LS0OzqcmtEs,저 도나스도 좋아합니다,"Jul 17, 2024",606,2077,168.046,2,4109.889,28929,5
LtB-gDd-yAA,[용사] 신나는 교촌 레드콤보 먹방입니다!!,"Jun 28, 2017",1761,2074,79.4803,2,2454.495,22574,7.54
02ce-TK_244,핵이득 숯불양념치킨 먹방입니다!!,"Dec 9, 2024",800,2073,178.3014,0,4103.87,44361,3.23
x7V9ZgadbzU,오늘 좀 대식하는 느낌 감자떡볶이 먹방입니다!!,"Apr 11, 2023",793,2068,224.971,0,4469.399,18210,8.43
0p-n--mjLqY,"본의 아니게 1,000칼로리 다이어트 먹방","Jul 7, 2024",832,2066,206.7926,0,5369.792,27763,5.26
JCJAC6UGGCY,솔직히 이 정도면 2인분 메밀소바 먹방,"Sep 11, 2024",686,2046,180.9416,1,4065.197,31925,4.96
7pRSqOUnmds,야외 먹방 일기 막창,"Jul 29, 2018",246,2045,63.9758,0,2207.849,25409,4.9
ZLLRTnMZIuw,라면 빌드업,"Nov 14, 2024",692,2040,180.6797,0,4313.438,36585,3.76
XdxTnvDnTpM,혼자먹기 아까운맛 미친만두 먹방입니다,"Feb 24, 2022",736,2027,172.967,0,3901.642,24671,6.99
ARAQyZcEiXs,일본게 코스요리 먹방[삿포로여행 1],"Jan 25, 2023",1083,2005,269.4601,1,5072.821,19182,7.25
7cOLLowio-I,그루밍 대신해주기,"Jun 30, 2024",23,1988,5.1728,0,174.303,6113,5.89
MSasYdW5gFs,호캉스,"Oct 18, 2022",555,1988,169.8023,0,4617.957,21989,6.61
ftDUbDhMeHM,감기에는 순두부찌개,"Oct 19, 2024",893,1975,225.1758,0,4991.453,37663,3.88
yesJ9uRBbYY,야외 먹방 일기 기리돈가스,"Jun 2, 2019",303,1968,83.4137,3,2484.862,25998,5.37
xtMimCM-uXo,저 이제 많이 안 먹습니다 콩나물김치라면 먹방입니다!!,"Nov 9, 2021",882,1967,200.3081,2,5300.237,20175,7.52
YDbyxt5k_ho,나는 애볐다 추석음식 먹방입니다!!,"Oct 8, 2023",758,1959,195.8794,1,4863.295,24290,5.88
X_lr4JgGFwM,일본에서 라면 끓여먹기,"Apr 21, 2024",692,1938,210.7703,1,4411.039,31860,3.83
bsf2lE-1NQc,햄버거 건강하게 먹기,"Aug 3, 2024",55,1938,10.1473,0,242.486,7331,0.6
fhqJjo6w4is,마른비만의 치킨 한 마리 도전 먹방,"Aug 9, 2022",854,1936,166.5896,1,3808.053,20183,7.7
cCXkWZt4t6s,말라깽이 전용 곱창전골,"Sep 23, 2024",846,1934,212.7365,1,4806.691,30279,4.66
dZFROcU5O1s,내가 먹방을 시작한 이유 김치솥밥먹방입니다!!,"Jun 29, 2023",725,1921,174.5382,2,4098.159,19672,7.47
VuWtoNlLUAU,통영 호캉스,"Sep 21, 2023",448,1912,153.6312,3,4353.91,27615,4.7
eucBT7Ah2FU,비빔밥 vs 돼지국밥,"Jul 14, 2024",43,1912,9.7503,0,269.194,9817,1.86
2TXVpUQBuY0,돼지 특,"Aug 18, 2023",33,1907,8.2714,0,266.991,4683,2.24
9XWKUMtq66E,돈까스 도시락만 먹을 거에요!! 돈까스 먹방,"Aug 29, 2023",763,1906,183.8408,0,3663.161,25396,5.71
pKksdLmfMVc,요즘 유행하는 식사법,"Jul 24, 2024",41,1906,10.9437,0,225.715,6092,2.5
xxbjH2Y9bA0,퐉스병진의 막창 먹방입니다!!,"Mar 30, 2023",966,1899,229.9345,0,4988.035,19976,6.27
vbqnaVB20aA,토핑가득 노모어피자 먹방입니다!!,"Jul 20, 2023",652,1894,71.4415,1,2531.96,21199,7.76
PSQdcUaddmg,치킨강정 더블팝치킨 먹방입니다!!,"May 3, 2023",834,1890,164.0858,1,4047.561,17175,8.64
g7nEofc7KTI,최근 신메뉴중 최고 남해마늘바사삭치킨 먹방,"Nov 21, 2022",778,1873,92.8584,1,3237.253,16252,10.34
cDjEmotyYas,신라면 더 레드 라죽,"Oct 13, 2023",58,1863,14.9358,0,256.084,15835,4.57
vsQMrkLv5AU,저 밥 한 공기만 먹어요 스팸감자짜글이 먹방입니다!!,"Jun 2, 2023",836,1862,187.1044,0,4177.57,22389,6.33
261VgDg8xt0,맛있는데 아쉬운 치킨 먹방입니다!!,"May 16, 2024",750,1855,149.9592,0,4020.349,24205,6.34
E3fozRKmE68,곱창전골 풀코스 먹방입니다!!,"Aug 16, 2023",753,1841,180.9247,1,7657.677,19319,6.38
8BbJKQ0j0ao,피쉬엔 칩스 맛,"Feb 24, 2024",10,1834,3.4653,0,216.584,8984,5.74
HXr7GTiJuAE,파김치에 카레 미쵸따 카레 먹방입니다!!,"Aug 21, 2023",647,1826,124.5413,2,3400.569,23459,6.54
L3rSmbqXdyE,나는 물만 먹어도 찌는 타입이다 만두 먹방,"Dec 4, 2023",460,1823,104.7161,0,3026.581,19506,7.68
NNx5bGsmqhY,시청자를 앞세워 마음대로 방송해서 죄송합니다 카스테라 우유 먹방,"Aug 8, 2023",571,1818,137.5726,1,3680.414,18140,8.25
WroQ4W_Fv0A,식상한 메뉴 김치볶음밥 먹방입니다!!,"Dec 13, 2022",814,1811,144.3664,0,3342.934,18278,8.42
KOXjOHOM_7g,양푼이참치스팸삼겹살날치알덮밥 먹방입니다!!,"Dec 6, 2022",876,1807,209.4811,1,4148.26,15224,9.25
EsScaQRmga0,골라먹는 치킨,"Jun 25, 2024",1077,1804,265.2487,2,4528.971,28658,3.63
KHKA1GUAqRw,플러팅 지존의 바지락순두부찌개 먹방,"Jul 27, 2023",1010,1793,271.5528,0,5495.123,17774,6.06
상위 500개 결과 표시
